date,value
07/31/2000,10521.98
08/31/2000,11215.1
09/30/2000,10650.92
10/31/2000,10971.14
11/30/2000,10414.49
12/31/2000,10786.85
01/31/2001,10887.36
02/28/2001,10495.28
03/31/2001,9878.78
04/30/2001,10734.97
05/31/2001,10911.94
06/30/2001,10502.4
07/31/2001,10522.81
08/31/2001,9949.75
09/30/2001,8847.56
10/31/2001,9075.14
11/30/2001,9851.56
12/31/2001,10021.5
01/31/2002,9920
02/28/2002,10106.13
03/31/2002,10403.94
04/30/2002,9946.22
05/31/2002,9925.25
06/30/2002,9243.26
07/31/2002,8736.59
08/31/2002,8663.5
09/30/2002,7591.93
10/31/2002,8397.03
11/30/2002,8896.09
12/31/2002,8341.63
01/31/2003,8053.81
02/28/2003,7891.08
03/31/2003,7992.13
04/30/2003,8480.09
05/31/2003,8850.26
06/30/2003,8985.44
07/31/2003,9233.8
